# Das ist die editier- sowie erweiterbare Liste der DOKs
# für die Verwendung durch OVJ
# Stand: 6.3.2010

#Ortsverbände im DARC Distrikt Baden (A)

Weiterstadt (F66)
Aulatal (F67)
Münster-Hessen (F68)
Bad Hersfeld Stadt (F69)
Fritzlar (F70)
Butzbach (F71)
Vorder-Rhön (F72)
Vellmar (F73)
Dornburg (F74)
Schöneck (F75)
Baunsberg (F76)


#Ortsverbände im DARC Distrikt Köln-Aachen (G)

Aachen (G01)
Alsdorf (G02)
Bonn (G03)
Düren (G04)
Eschweiler (G05)
Euskirchen (G06)
Gummersbach (G07)
Bonn-Bad Godesberg (G08)
Bad Honnef (G09)
Köln (G10)
Leverkusen (G11)
Porz (G12)
Selfkant (G13)
Herzogenrath (G14)
Siegburg (G15)
Jülich (G16)
Roesrath (G17)
Rurland (G18)
Bergisch Gladbach (G19)
Bergheim/Erft (G20)
Dormagen (G21)
Gemünd (G22)
Meckenheim (G23)
Köln-Deutz (G24)
Siebengebirge (G25)
Nordeifel (G26)
Troisdorf (G27)
Berg-Mark (G28)
Kerpen (G29)
Stolberg (G30)
Brühl (G31)
Windeck (G32)
Bonn-Hardtberg (G33)
Bergisch Neukirchen (G34)
Köln-Nord (G35)
Erftstadt (G36)
Wesseling (G37)
Wegberg (G38)
Pulheim (G40)
Heimbach (G41)
Kreuzau (G42)
Wahnbachtal (G43)
Koeln-Dellbrueck (G44)
Aachen Burtscheid (G45)
Swisttal (G46)
Königswinter (G48)
Wurmtal (G49)
Hürth (G50)
Aquisgranum (G51)
Niederkassel (G53)
Eitorf (G54)
Agfaa (G55)
Stolberg BSG Leoni (G56)


#Ortsverbände im DARC Distrikt Niedersachsen (H)

Alfeld (H01)
Walsrode (H02)
Braunschweig (H03)
Bückeburg (H04)
Celle (H05)
Clausthal-Zellerfeld (H06)
Fassberg (H07)
Gifhorn (H08)
Goslar (H09)
Göttingen (H10)
Bad Harzburg (H11)
Hameln (H12)
Hannover (H13)
Hannoversch Münden (H14)
Hildesheim (H15)
Holzminden (H16)
Nienburg (H17)
Northeim (H18)
Osterode (H19)
Peine (H20)
Salzgitter-Bad (H21)
Seesen (H22)
Uelzen (H23)
Wolfsburg (H24)
Stadthagen (H25)
Einbeck (H27)
Lüchow-Dannenberg (H28)
Deister (H29)
Helmstedt (H30)
Langenhagen (H31)
Lehrte (H32)
Salzgitter-Lebenstedt (H33)
Solling (H34)
Steinhuder Meer (H35)
Wolfenbüttel (H36)
Wedemark (H37)
Leinetal (H38)
Marienburg (H39)
Barsinghausen (H40)
Eichsfeld/Duderstadt (H41)
Garbsen (H42)
Soltau (H43)
Bad Pyrmont (H44)
Hannover-Nordost (H45)
Braunschweig-Okeraue (H46)
Laatzen (H47)
Hannover Schwarzer Bär (H48)
Südheide (H50)
Dransfeld (H51)
Göttingen-West (H53)
Nord-Elm (H54)
Celle-Süd (H55)
Aller-Leine-Tal (H56)
Rinteln (H57)
Braunschweig-Nordwest (H59)
Lengede (H60)
Neustadt A.Rbg. (H61)
Hameln-West (H62)
Calenberg (H63)
Goslar-Nord (H64)
Hannover Hohes Ufer (H65)
Braunschweig-Schuntertal (H66)


#Ortsverbände im DARC Distrikt Nordsee (I)

Ammerland (I01)
Harlingerland (I02)
Wesermarsch (I03)
Bremen (I04)
Bremerhaven (I05)
Emden (I06)
Leer (I07)
Lingen (I08)
Norden (I09)
Norderney (I10)
Oldenburg (I11)
Osnabrück (I12)
Varel (I13)
Vegesack (I14)
Verden (I15)
Wilhelmshaven (I16)
Grafschaft Hoya (I17)
Delmenhorst (I18)
Rotenburg (I19)
Vechta (I20)
Grafschaft Bentheim (I21)
Teufelsmoor (I23)
Teuto (I24)
Syke (I25)
Meppen (I26)
Hansa (I27)
Grönegau (I28)
Nordenham (I29)
Aurich (I30)
Diepholz (I31)
Rastede (I32)
Nordhorn (I33)
Schinkel (I34)
Cloppenburg (I35)
Bremervörde (I36)
Dörenberg (I37)
Osning (I38)
Achim (I39)
Sulingen (I40)
Brinkum (I41)
Bersenbrück (I42)
Niedergrafschaft (I43)
Weyhe (I44)
Worpswede (I45)
Hatten (I46)
Altkreis Wittlage (I47)
Ahlhorn (I48)
Schortens Jeverland (I49)
Goldenstedt (I50)
Petersdorf (I51)
Bramgau (I52)
Huchting (I53)
Fehngebiet (I54)
Hage (I55)
Unterweser (I56)
Papenburg (I57)
Wiesmoor (I58)


#Ortsverbände im DARC Distrikt Rheinland-Pfalz (K)

Ahrweiler (K01)
Diez (K02)
Idar-Oberstein (K03)
Bad Kreuznach (K04)
Koblenz (K05)
Ludwigshafen (K06)
Mainz (K07)
Neuwied (K08)
Pirmasens (K09)
Trier (K10)
Worms (K11)
Zweibrücken (K12)
Neustadt/Weinstraße (K13)
Landau (K14)
Bingen (K15)
Kaiserslautern (K16)
Speyer (K17)
Westerwald (K18)
Kirn (K19)
Andernach (K20)
Alzey (K21)
Wasgau (K22)
Germersheim (K23)
Loreley (K24)
Konz (K25)
Birkenfeld/Nahe (K26)
Frankenthal (K27)
Hunsrueck (K28)
Ingelheim (K29)
Linzer Höhe (K30)
Südeifel (K31)
Mittelrhein (K32)
Nierstein-Oppenheim (K33)
Vulkaneifel (K34)
Schwarzbachtal (K35)
Obere Kyll (K36)
Schifferstadt (K38)
Westpfalz (K39)
Kannenbaeckerland (K40)
Sieg-Hellertal (K41)
Limburgerhof (K42)
Vallendar (K43)
Dahn (K44)
Cochem (K45)
Nieder-Olm (K46)
Mayen (K47)
Mittelmosel (K48)
Obere Nahe (K49)
Altenkirchen (K50)
Bitburg (K51)
Hochwald (K52)
Mainz-Lerchenberg (K53)
Donnersberg (K54)
Untere Nahe (K55)
Bodenheim (K56)


#Ortsverbände im DARC Distrikt Württemberg (P)

Backnang                  (P01)	
Esslingen                 (P02)
Friedrichshafen           (P03)
Heidenheim                (P04)
Heilbronn                 (P05)
Ludwigsburg               (P06)
Reutlingen                (P07)
Nürtingen                 (P08)
Ravensburg                (P09)
Rottweil                  (P10)
Stuttgart                 (P11)
Tübingen                  (P12)
Tuttlingen                (P13)
Ulm                       (P14)
Mühlacker/Vaihingen-Enz   (P15)
Wangen                    (P16)
Herrenberg                (P18)
Freudenstadt              (P19)
Schwäbisch Hall           (P20)
Biberach                  (P21)
Aalen                     (P22)
Schwäbisch Gmünd          (P23)
Leonberg                  (P24)
Crailsheim                (P25)
Böblingen                 (P26)
Schramberg                (P27)
Bopfingen                 (P28)
Sigmaringen               (P29)
Balingen                  (P30)
Ermstal                   (P31)
Nordschwarzwald           (P32)
Hohenlohe                 (P33)
Albstadt                  (P34)
Kirchheim/Teck            (P35)
Sulz am Neckar            (P36)
Waiblingen                (P37)
Geislingen                (P38)
Ulm-West                  (P39)
Unterland                 (P40)
Göppingen                 (P41)
Sindelfingen              (P42)
Donau-Bussen              (P43)
Meßstetten                (P44)
Primtal                   (P45)
Schussental               (P46)
Wendlingen                (P47)
Filderstadt               (P48)
Laupheim                  (P49)
Möckmühl                  (P50)
Stromberg                 (P51)
Hohenzollern              (P52)
Laichingen                (P53)
Leinfelden-Echterdingen   (P54)
Schwieberd.               (P55)
Taubertal-Mitte           (P56)
Ertingen                  (P57)
Bitz                      (P59)
Achalm                    (P60)
Hohenasperg               (P61)

